text,text_lower,lemma,lemma_lower,part_of_speech,is_alphabet,is_stopword
",",",",",",",",PUNCT,False,False
exceptionnellement,exceptionnellement,exceptionnellement,exceptionnellement,NOUN,True,False
l’,l’,l’,l’,NUM,False,True
émission,émission,émission,émission,NOUN,True,False
est,est,être,être,AUX,True,True
décalée,décalée,décaler,décaler,VERB,True,False
à,à,à,à,ADP,True,True
MERCREDI,mercredi,mercredi,mercredi,NOUN,True,False
20h,20h,20h,20h,ADJ,False,False
!,!,!,!,PUNCT,False,False
"
","
","
","
",SPACE,False,False
Un,un,un,un,DET,True,True
indic,indic,indic,indic,NOUN,True,False
…,…,…,…,PROPN,False,False
https://t.co/lICf41QYcI,https://t.co/licf41qyci,https://t.co/lICf41QYcI,https://t.co/licf41qyci,PROPN,False,False
@ana_prnt,@ana_prnt,@ana_prnt,@ana_prnt,PROPN,False,False
@netsabes,@netsabes,@netsabes,@netsabes,PROPN,False,False
J’,j’,j’,j’,ADJ,False,True
ai,ai,avoir,avoir,AUX,True,True
trouvé,trouvé,trouver,trouver,VERB,True,False
mon,mon,mon,mon,DET,True,True
nouveau,nouveau,nouveau,nouveau,ADJ,True,True
tatouage,tatouage,tatouage,tatouage,NOUN,True,False
👌,👌,👌,👌,ADJ,False,False
J',j',je,je,PRON,False,True
ai,ai,avoir,avoir,VERB,True,True
plus,plus,plus,plus,ADV,True,True
d',d',de,de,ADP,False,True
un,un,un,un,DET,True,True
tour,tour,tour,tour,NOUN,True,False
dans,dans,dans,dans,ADP,True,True
mon,mon,mon,mon,DET,True,True
sac,sac,sac,sac,NOUN,True,False
🚪,🚪,🚪,🚪,NOUN,False,False
#,#,#,#,X,False,False
CyprienFirst,cyprienfirst,CyprienFirst,cyprienfirst,PROPN,True,False
"
","
","
","
",SPACE,False,False
https://t.co/tCFc9TtxVk,https://t.co/tcfc9ttxvk,https://t.co/tCFc9TtxVk,https://t.co/tcfc9ttxvk,X,False,False
RT,rt,RT,rt,PROPN,True,False
@Nato_o,@nato_o,@nato_o,@nato_o,VERB,False,False
:,:,:,:,PUNCT,False,False
«,«,«,«,PUNCT,False,False
 , ,  ,  ,SPACE,False,False
SWIPE,swipe,swip,swip,ADJ,True,False
 , ,  ,  ,SPACE,False,False
»,»,»,»,DET,False,False
nouveau,nouveau,nouveau,nouveau,NOUN,True,True
clip,clip,clip,clip,PROPN,True,False
dispo,dispo,dispo,dispo,VERB,True,False
sur,sur,sur,sur,ADP,True,True
ma,ma,mon,mon,DET,True,True
chaîne,chaîne,chaîne,chaîne,NOUN,True,False
.,.,.,.,PUNCT,False,False
Ça,ça,ça,ça,DET,True,True
parle,parle,parle,parle,NOUN,True,True
d’,d’,d’,d’,NUM,False,True
appli,appli,appli,appli,VERB,True,False
de,de,de,de,ADP,True,True
rencontre,rencontre,rencontre,rencontre,NOUN,True,False
toussa,toussa,tousser,tousser,VERB,True,False
toussa,toussa,tousser,tousser,VERB,True,False
...,...,...,...,PUNCT,False,False
📱,📱,📱,📱,NOUN,False,False
➡,➡,➡,➡,PROPN,False,False
️,️,️,️,ADJ,False,False
❤,❤,❤,❤,ADV,False,False
️,️,️,️,ADJ,False,False
❓,❓,❓,❓,NOUN,False,False
"
","
","
","
",SPACE,False,False
https://t.co/7wf9tuysZt,https://t.co/7wf9tuyszt,https://t.co/7wf9tuysZt,https://t.co/7wf9tuyszt,X,False,False
https,https,http,http,ADJ,True,False
:,:,:,:,PUNCT,False,False
…,…,…,…,NOUN,False,False
Merci,merci,merci,merci,NOUN,True,True
au,au,au,au,PROPN,True,True
groupe,groupe,groupe,groupe,NOUN,True,False
japonais,japonais,japonais,japonais,PUNCT,True,False
@birdsmeltsky,@birdsmeltsky,@birdsmeltsky,@birdsmeltsky,PROPN,False,False
pour,pour,pour,pour,ADP,True,True
la,la,le,le,DET,True,True
musique,musique,musique,musique,NOUN,True,False
de,de,de,de,ADP,True,True
fin,fin,fin,fin,NOUN,True,False
",",",",",",",",PUNCT,False,False
il,il,il,il,PRON,True,True
nous,nous,nous,nous,PRON,True,True
fallait,fallait,falloir,falloir,VERB,True,False
de,de,de,de,ADP,True,True
la,la,le,le,DET,True,True
J,j,J,j,PROPN,True,False
-,-,-,-,PUNCT,False,False
pop,pop,pop,pop,ADP,True,False
pour,pour,pour,pour,ADP,True,True
ce,ce,ce,ce,DET,True,True
court,court,court,court,NOUN,True,False
métrage,métrage,métrage,métrage,NOUN,True,False
🌸,🌸,🌸,🌸,NOUN,False,False
"
","
","
","
",SPACE,False,False
https://t.co/ztgfg3vPJb,https://t.co/ztgfg3vpjb,https://t.co/ztgfg3vpjb,https://t.co/ztgfg3vpjb,CCONJ,False,False
@Batsheba,@batsheba,@Batsheba,@batsheba,PROPN,False,False
_,_,_,_,PROPN,False,False
Génial,génial,génial,génial,ADJ,True,False
😍,😍,😍,😍,VERB,False,False
des,des,un,un,DET,True,True
dessinateurs,dessinateurs,dessinateur,dessinateur,NOUN,True,False
de,de,de,de,ADP,True,True
manga,manga,manga,manga,PROPN,True,False
dessinés,dessinés,dessiner,dessiner,VERB,True,False
en,en,en,en,ADP,True,True
manga,manga,manga,manga,NOUN,True,False
",",",",",",",",PUNCT,False,False
la,la,le,le,DET,True,True
boucle,boucle,boucle,boucle,PROPN,True,False
est,est,être,être,AUX,True,True
bouclée,bouclée,boucler,boucler,VERB,True,False
😅,😅,😅,😅,NOUN,False,False
@yujinebokusu,@yujinebokusu,@yujinebokusu,@yujinebokusu,NUM,False,False
👍,👍,👍,👍,ADJ,False,False
👍,👍,👍,👍,NOUN,False,False
@84Lightlife,@84lightlife,@84Lightlife,@84lightlife,PROPN,False,False
@xSqueeZie,@xsqueezie,@xSqueeZie,@xsqueezie,PROPN,False,False
C’,c’,C’,c’,PROPN,False,True
est,est,être,être,AUX,True,True
une,une,un,un,DET,True,True
instru,instru,instru,instru,NOUN,True,False
achetée,achetée,acheter,acheter,VERB,True,False
sur,sur,sur,sur,ADP,True,True
internet,internet,internet,internet,NOUN,True,False
😂,😂,😂,😂,VERB,False,False
@LeReilly,@lereilly,@lereilly,@lereilly,VERB,False,False
Je,je,je,je,PRON,True,True
connais,connais,connaître,connaître,VERB,True,False
très,très,très,très,ADV,True,True
bien,bien,bien,bien,ADV,True,True
tous,tous,tout,tout,ADJ,True,True
les,les,le,le,DET,True,True
noms,noms,nom,nom,NOUN,True,False
cités,cités,citer,citer,ADJ,True,False
puisqu’,puisqu’,puisqu’,puisqu’,ADP,False,False
ils,ils,il,il,PRON,True,True
m’,m’,m’,m’,AUX,False,True
ont,ont,avoir,avoir,AUX,True,True
aussi,aussi,aussi,aussi,ADV,True,True
ciblé,ciblé,cibler,cibler,VERB,True,False
dans,dans,dans,dans,ADP,True,True
leur,leur,leur,leur,DET,True,True
ligue,ligue,ligue,ligue,PROPN,True,False
des,des,un,un,DET,True,True
sociopathes,sociopathes,sociopathe,sociopathe,NOUN,True,False
.,.,.,.,PUNCT,False,False
Merci,merci,merci,merci,NOUN,True,True
du,du,de,de,DET,True,True
témoignage,témoignage,témoignage,témoignage,NOUN,True,False
.,.,.,.,PUNCT,False,False
RT,rt,RT,rt,PROPN,True,False
@NormanDesVideos,@normandesvideos,@NormanDesVideos,@normandesvideos,PROPN,False,False
:,:,:,:,PUNCT,False,False
DEMAIN,demain,demain,demain,NOUN,True,False
débute,débute,débute,débute,VERB,True,False
enfin,enfin,enfin,enfin,ADV,True,True
la,la,le,le,DET,True,True
tournée,tournée,tournée,tournée,NOUN,True,False
de,de,de,de,ADP,True,True
mon,mon,mon,mon,DET,True,True
nouveau,nouveau,nouveau,nouveau,ADJ,True,True
spectacle,spectacle,spectacle,spectacle,NOUN,True,False
sur,sur,sur,sur,ADP,True,True
scène,scène,scène,scène,NOUN,True,False
:,:,:,:,PUNCT,False,False
LE,le,le,le,DET,True,True
SPECTACLE,spectacle,spectacle,spectacle,NOUN,True,False
DE,de,de,de,ADP,True,True
LA,la,le,le,DET,True,True
MATURITÉ,maturité,maturité,maturité,NOUN,True,False
!,!,!,!,PUNCT,False,False
Petite,petite,petit,petit,ADJ,True,False
pression,pression,pression,pression,NOUN,True,False
mais,mais,mais,mais,CCONJ,True,True
…,…,…,…,ADV,False,False
RT,rt,RT,rt,PROPN,True,False
@SonySantaMonica,@sonysantamonica,@SonySantaMonica,@sonysantamonica,PROPN,False,False
:,:,:,:,PUNCT,False,False
Kratos,kratos,Kratos,kratos,PROPN,True,False
💪,💪,💪,💪,PROPN,False,False
&,&,et,et,CCONJ,False,False
gt,gt,gt,gt,PROPN,True,False
;,;,;,;,PUNCT,False,False
Thanos,thanos,thano,thano,NOUN,True,False
"
","
","
","
",SPACE,False,False
#,#,#,#,X,False,False
WhateverItTakes,whateverittakes,WhateverItTakes,whateverittakes,PROPN,True,False
https://t.co/WcOkzdTlYo,https://t.co/wcokzdtlyo,https://t.co/WcOkzdTlYo,https://t.co/wcokzdtlyo,PROPN,False,False
@TheSmith612,@thesmith612,@thesmith612,@thesmith612,CCONJ,False,False
Un,un,un,un,DET,True,True
régal,régal,régal,régal,NOUN,True,False
👌,👌,👌,👌,ADJ,False,False
RT,rt,RT,rt,PROPN,True,False
@dowdow_v,@dowdow_v,@dowdow_v,@dowdow_v,PROPN,False,False
:,:,:,:,PUNCT,False,False
구출,구출,구출,구출,CCONJ,True,False
👮,👮,👮,👮,NOUN,False,False
"
","
","
","
",SPACE,False,False
Rescue,rescue,Rescue,rescue,PROPN,True,False
https://t.co/dTYOm0J3kv,https://t.co/dtyom0j3kv,https://t.co/dtyom0j3kv,https://t.co/dtyom0j3kv,NOUN,False,False
Choisissez,choisissez,Choisissez,choisissez,PROPN,True,False
pour,pour,pour,pour,ADP,True,True
moi,moi,moi,moi,PRON,True,True
🗡,🗡,🗡,🗡,PRON,False,False
🛡,🛡,🛡,🛡,PROPN,False,False
RT,rt,RT,rt,PROPN,True,False
@LMLEvideo,@lmlevideo,@LMLEvideo,@lmlevideo,PROPN,False,False
:,:,:,:,PUNCT,False,False
Aujourd’hui,aujourd’hui,aujourd’hui,aujourd’hui,NOUN,False,False
à,à,à,à,ADP,True,True
18h30,18h30,18h30,18h30,NOUN,False,False
nous,nous,nous,nous,PRON,True,True
serons,serons,être,être,VERB,True,False
les,les,le,le,DET,True,True
invités,invités,invité,invité,NOUN,True,False
de,de,de,de,ADP,True,True
l’,l’,l’,l’,PROPN,False,True
émission,émission,émission,émission,NOUN,True,False
Twitch,twitch,Twitch,twitch,PROPN,True,False
de,de,de,de,ADP,True,True
@MonsieurDream,@monsieurdream,@MonsieurDream,@monsieurdream,PROPN,False,False
😄,😄,😄,😄,PROPN,False,False
Venez,venez,Venez,venez,PROPN,True,False
",",",",",",",",PUNCT,False,False
on,on,on,on,PRON,True,True
va,va,aller,aller,VERB,True,True
s’,s’,s’,s’,AUX,False,True
amuser,amuser,amuser,amuser,VERB,True,False
:,:,:,:,PUNCT,False,False
https://t.co/TW,https://t.co/tw,https://t.co/tw,https://t.co/tw,NOUN,False,False
…,…,…,…,PROPN,False,False
Et,et,et,et,CCONJ,True,True
merci,merci,merci,merci,NOUN,True,True
à,à,à,à,ADP,True,True
la,la,le,le,DET,True,True
communauté,communauté,communauté,communauté,NOUN,True,False
d',d',de,de,ADP,False,True
avoir,avoir,avoir,avoir,AUX,True,True
créé,créé,créer,créer,VERB,True,False
les,les,le,le,DET,True,True
sous-titres,sous-titres,sous-titre,sous-titre,NOUN,False,False
🇯,🇯,🇯,🇯,PRON,False,False
🇵,🇵,🇵,🇵,NOUN,False,False
🇰,🇰,🇰,🇰,PROPN,False,False
🇷,🇷,🇷,🇷,PROPN,False,False
🇪,🇪,🇪,🇪,PROPN,False,False
🇸,🇸,🇸,🇸,X,False,False
🇬,🇬,🇬,🇬,PROPN,False,False
🇧,🇧,🇧,🇧,VERB,False,False
🇵,🇵,🇵,🇵,NOUN,False,False
🇹,🇹,🇹,🇹,PROPN,False,False
https://t.co/eJZohulj0k,https://t.co/ejzohulj0k,https://t.co/eJZohulj0k,https://t.co/ejzohulj0k,PROPN,False,False
@LucaNiculescu,@lucaniculescu,@LucaNiculescu,@lucaniculescu,PROPN,False,False
@MAERomania,@maeromania,@MAERomania,@maeromania,PROPN,False,False
@francediplo,@francediplo,@francediplo,@francediplo,ADP,False,False
👍,👍,👍,👍,ADJ,False,False
👍,👍,👍,👍,ADJ,False,False
🇷,🇷,🇷,🇷,PROPN,False,False
🇴,🇴,🇴,🇴,PROPN,False,False
RT,rt,RT,rt,PROPN,True,False
@CBC,@cbc,@cbc,@cbc,VERB,False,False
:,:,:,:,PUNCT,False,False
canada,canada,canada,canada,PROPN,True,False
@0n3Up,@0n3up,@0n3Up,@0n3up,PROPN,False,False
Merci,merci,merci,merci,NOUN,True,True
pour,pour,pour,pour,ADP,True,True
le,le,le,le,DET,True,True
partage,partage,partage,partage,NOUN,True,False
💪,💪,💪,💪,PROPN,False,False
@YesImGonnaWin,@yesimgonnawin,@yesimgonnawin,@yesimgonnawin,ADJ,False,False
👍,👍,👍,👍,NOUN,False,False
📚,📚,📚,📚,VERB,False,False
Pas,pas,pas,pas,ADV,True,True
de,de,de,de,DET,True,True
réalité,réalité,réalité,réalité,NOUN,True,False
augmentée,augmentée,augmenter,augmenter,VERB,True,False
cette,cette,ce,ce,DET,True,True
fois,fois,fois,fois,NOUN,True,False
-,-,-,-,PUNCT,False,False
ci,ci,ci,ci,PROPN,True,True
",",",",",",",",PUNCT,False,False
juste,juste,juste,juste,ADV,True,True
un,un,un,un,DET,True,True
litchi,litchi,litchi,litchi,NOUN,True,False
à,à,à,à,ADP,True,True
poil,poil,poil,poil,PROPN,True,False
✍,✍,✍,✍,ADJ,False,False
️,️,️,️,ADJ,False,False
https://t.co/fg2D7cj5MN,https://t.co/fg2d7cj5mn,https://t.co/fg2d7cj5mn,https://t.co/fg2d7cj5mn,NOUN,False,False
RT,rt,RT,rt,PROPN,True,False
@TomliTV,@tomlitv,@tomlitv,@tomlitv,ADP,False,False
:,:,:,:,PUNCT,False,False
woops,woops,woop,woop,NOUN,True,False
.,.,.,.,PUNCT,False,False
"
","
","
","
",SPACE,False,False
@MonsieurDream,@monsieurdream,@MonsieurDream,@monsieurdream,PROPN,False,False
vs,vs,v,v,NOUN,True,False
@xSqueeZie,@xsqueezie,@xsqueezie,@xsqueezie,ADP,False,False
"
","
","
","
",SPACE,False,False
https://t.co/7tJllWKXLn,https://t.co/7tjllwkxln,https://t.co/7tJllWKXLn,https://t.co/7tjllwkxln,PROPN,False,False
C',c',ce,ce,PRON,False,True
est,est,être,être,AUX,True,True
trash,trash,trash,trash,NOUN,True,False
donc,donc,donc,donc,ADV,True,True
c',c',ce,ce,PRON,False,True
est,est,être,être,AUX,True,True
@BakaBoo,@bakaboo,@bakaboo,@bakaboo,DET,False,False
_,_,_,_,NOUN,False,False
https://t.co/EJgoWZMG2,https://t.co/ejgowzmg2,https://t.co/ejgowzmg2,https://t.co/ejgowzmg2,ADJ,False,False
m,m,m,m,NOUN,True,False
RT,rt,RT,rt,PROPN,True,False
@F_Descraques,@f_descraques,@f_descraque,@f_descraque,ADJ,False,False
:,:,:,:,PUNCT,False,False
Je,je,je,je,PRON,True,True
suis,suis,être,être,AUX,True,True
fier,fier,fier,fier,VERB,True,False
de,de,de,de,ADP,True,True
vous,vous,vous,vous,PRON,True,True
présenter,présenter,présenter,présenter,VERB,True,False
LE,le,le,le,DET,True,True
JUGEMENT,jugement,jugement,jugement,NOUN,True,False
DERNIER,dernier,dernier,dernier,VERB,True,True
que,que,que,que,SCONJ,True,True
j',j',je,je,PRON,False,True
ai,ai,avoir,avoir,AUX,True,True
réalisé,réalisé,réaliser,réaliser,VERB,True,False
pour,pour,pour,pour,ADP,True,True
@francetvslash,@francetvslash,@francetvslash,@francetvslash,NOUN,False,False
.,.,.,.,PUNCT,False,False
"

","

","

","

",SPACE,False,False
Avec,avec,avec,avec,ADP,True,True
Dominique,dominique,Dominique,dominique,PROPN,True,False
Pinon,pinon,pinon,pinon,NOUN,True,False
",",",",",",",",PUNCT,False,False
Michelle,michelle,Michelle,michelle,PROPN,True,False
…,…,…,…,PROPN,False,False
Merci,merci,merci,merci,NOUN,True,True
d’,d’,d’,d’,VERB,False,True
être,être,être,être,AUX,True,True
passés,passés,passer,passer,VERB,True,False
!,!,!,!,PUNCT,False,False
Du,du,de,de,DET,True,True
love,love,love,love,NOUN,True,False
sur,sur,sur,sur,ADP,True,True
les,les,le,le,DET,True,True
invités,invités,invité,invité,NOUN,True,False
et,et,et,et,CCONJ,True,True
sur,sur,sur,sur,ADP,True,True
@Rizotochaud,@rizotochaud,@Rizotochaud,@rizotochaud,PROPN,False,False
@shytoos,@shytoos,@shytoos,@shytoos,ADP,False,False
_,_,_,_,NOUN,False,False
et,et,et,et,CCONJ,True,True
les,les,le,le,DET,True,True
modos,modos,modo,modo,NOUN,True,False
qui,qui,qui,qui,PRON,True,True
ont,ont,avoir,avoir,AUX,True,True
assurés,assurés,assurer,assurer,VERB,True,False
❤,❤,❤,❤,ADV,False,False
️,️,️,️,ADJ,False,False
"
","
","
","
",SPACE,False,False
Vous,vous,vous,vous,PRON,True,True
av,av,av,av,AUX,True,False
…,…,…,…,NUM,False,False
https://t.co/O1F2Yx1SfI,https://t.co/o1f2yx1sfi,https://t.co/o1f2yx1sfi,https://t.co/o1f2yx1sfi,VERB,False,False
Le,le,le,le,DET,True,True
temps,temps,temps,temps,NOUN,True,False
que,que,que,que,PRON,True,True
je,je,je,je,PRON,True,True
tweet,tweet,tweet,tweet,VERB,True,False
et,et,et,et,CCONJ,True,True
l’,l’,l’,l’,PROPN,False,True
objectif,objectif,objectif,objectif,NOUN,True,False
est,est,être,être,AUX,True,True
dépassé,dépassé,dépasser,dépasser,VERB,True,False
😅,😅,😅,😅,NOUN,False,False
"
","
","
","
",SPACE,False,False
👏,👏,👏,👏,X,False,False
👏,👏,👏,👏,X,False,False
@ThiermarcAuger,@thiermarcauger,@ThiermarcAuger,@thiermarcauger,PROPN,False,False
@YouTube,@youtube,@youtube,@youtube,SCONJ,False,False
@xSqueeZie,@xsqueezie,@xsqueezie,@xsqueezie,ADP,False,False
@Raphael_Carlier,@raphael_carlier,@Raphael_Carlier,@raphael_carlier,PROPN,False,False
@levraimcfly,@levraimcfly,@levraimcfly,@levraimcfly,VERB,False,False
Lis,lis,lis,lis,NOUN,True,False
la,la,le,le,DET,True,True
description,description,description,description,NOUN,True,False
.,.,.,.,PUNCT,False,False
@Jero_CJD,@jero_cjd,@jero_cjd,@jero_cjd,NOUN,False,False
À,à,à,à,ADP,True,True
la,la,le,le,DET,True,True
«,«,«,«,PUNCT,False,False
 , ,  ,  ,SPACE,False,False
plume,plume,plume,plume,NOUN,True,False
façon,façon,façon,façon,NOUN,True,True
manga,manga,manga,manga,ADJ,True,False
 , ,  ,  ,SPACE,False,False
»,»,»,»,PRON,False,False
(,(,(,(,PUNCT,False,False
maru,maru,maru,maru,VERB,True,False
pen,pen,pen,pen,DET,True,False
",",",",",",",",PUNCT,False,False
G,g,gramme,gramme,NOUN,True,False
pen,pen,pen,pen,DET,True,False
etc.,etc.,etc.,etc.,ADV,False,False
),),),),PUNCT,False,False
pas,pas,pas,pas,ADV,True,True
les,les,le,le,DET,True,True
décors,décors,décor,décor,NOUN,True,False
.,.,.,.,PUNCT,False,False
@Alex_Dahm_FDS,@alex_dahm_fds,@alex_dahm_fd,@alex_dahm_fd,NOUN,False,False
Excellent,excellent,excellent,excellent,ADJ,True,False
👌,👌,👌,👌,PROPN,False,False
RT,rt,RT,rt,PROPN,True,False
@JulienJosselin,@julienjosselin,@JulienJosselin,@julienjosselin,PROPN,False,False
:,:,:,:,PUNCT,False,False
ON,on,on,on,PRON,True,True
EST,est,être,être,AUX,True,True
LIVE,live,live,live,ADJ,True,False
!,!,!,!,PUNCT,False,False
!,!,!,!,PUNCT,False,False
VENEZ,venez,venez,venez,NOUN,True,False
NOUS,nous,nous,nous,PRON,True,True
VOIR,voir,voir,voir,VERB,True,False
"
","
","
","
",SPACE,False,False
https://t.co/IyvNn4MTgT,https://t.co/iyvnn4mtgt,https://t.co/IyvNn4MTgT,https://t.co/iyvnn4mtgt,PROPN,False,False
https://t.co/ACVBuNyMXl,https://t.co/acvbunymxl,https://t.co/acvbunymxl,https://t.co/acvbunymxl,ADV,False,False
RT,rt,RT,rt,PROPN,True,False
@JulienJosselin,@julienjosselin,@JulienJosselin,@julienjosselin,PROPN,False,False
:,:,:,:,PUNCT,False,False
GOOD,good,GOOD,good,PROPN,True,False
GUYS,guys,GUYS,guys,PROPN,True,False
WEAR,wear,wear,wear,ADJ,True,False
BLACK,black,black,black,NOUN,True,False
😎,😎,😎,😎,ADP,False,False
https://t.co/aW4eZzvLC1,https://t.co/aw4ezzvlc1,https://t.co/aw4ezzvlc1,https://t.co/aw4ezzvlc1,NOUN,False,False
RT,rt,RT,rt,PROPN,True,False
@shin___geki,@shin___geki,@shin___geki,@shin___geki,PROPN,False,False
:,:,:,:,PUNCT,False,False
病院ノート（カラー版,病院ノート（カラー版,病院ノート（カラー版,病院ノート（カラー版,PUNCT,False,False
),),),),PUNCT,False,False
"

","

","

","

",SPACE,False,False
ノートと紙で作りました,ノートと紙で作りました,ノートと紙で作りました,ノートと紙で作りました,VERB,True,False
。,。,。,。,PUNCT,False,False
https://t.co/bDAnwcuoq4,https://t.co/bdanwcuoq4,https://t.co/bdanwcuoq4,https://t.co/bdanwcuoq4,NOUN,False,False
Alors,alors,alors,alors,ADV,True,True
@xSqueeZie,@xsqueezie,@xsqueezie,@xsqueezie,ADP,False,False
c’,c’,c’,c’,PROPN,False,True
était,était,être,être,AUX,True,True
sympa,sympa,sympa,sympa,ADJ,True,False
le,le,le,le,DET,True,True
coup,coup,coup,coup,NOUN,True,False
du,du,de,de,DET,True,True
métro,métro,métro,métro,NOUN,True,False
",",",",",",",",PUNCT,False,False
mais,mais,mais,mais,CCONJ,True,True
si,si,si,si,SCONJ,True,True
tu,tu,tu,tu,DET,True,True
allais,allais,aller,aller,AUX,True,False
regarder,regarder,regarder,regarder,VERB,True,False
une,une,un,un,DET,True,True
de,de,de,de,ADP,True,True
tes,tes,te,te,NOUN,True,True
dernières,dernières,dernier,dernier,NOUN,True,False
vidéos,vidéos,vidéo,vidéo,ADJ,True,False
sur,sur,sur,sur,ADP,True,True
ta,ta,ta,ta,AUX,True,True
chaî,chaî,chaî,chaî,AUX,True,False
…,…,…,…,ADV,False,False
https://t.co/yoW1jJe7Xw,https://t.co/yow1jje7xw,https://t.co/yow1jje7xw,https://t.co/yow1jje7xw,VERB,False,False
@F_Descraques,@f_descraques,@f_descraques,@f_descraques,DET,False,False
Fais,fais,fai,fai,NOUN,True,True
la,la,le,le,DET,True,True
promo,promo,promo,promo,VERB,True,False
du,du,de,de,DET,True,True
court,court,court,court,NOUN,True,False
métrage,métrage,métrage,métrage,NOUN,True,False
en,en,en,en,ADP,True,True
scred,scred,scred,scred,NOUN,True,False
😎,😎,😎,😎,ADP,False,False
RT,rt,RT,rt,PROPN,True,False
@PetitPiedDessin,@petitpieddessin,@petitpieddessin,@petitpieddessin,AUX,False,False
:,:,:,:,PUNCT,False,False
☑,☑,☑,☑,NOUN,False,False
https://t.co/Z9Heg6mMa6,https://t.co/z9heg6mma6,https://t.co/z9heg6mma6,https://t.co/z9heg6mma6,NOUN,False,False
@azeryoop31,@azeryoop31,@azeryoop31,@azeryoop31,PROPN,False,False
Guillaume,guillaume,Guillaume,guillaume,PROPN,True,False
Ferran,ferran,Ferran,ferran,PROPN,True,False
",",",",",",",",PUNCT,False,False
